aika_fi,toteutunut_MW,fingrid_ennuste_MW
2026-09-01 11:45:00+03:00,9035.16,11997.0
2026-09-01 12:00:00+03:00,9103.91,11997.0
2026-09-01 12:15:00+03:00,9116.15,11997.0
2026-09-01 12:30:00+03:00,9014.08,11997.0
2026-09-01 12:45:00+03:00,9011.02,11997.0
2026-09-01 13:00:00+03:00,8927.07,11997.0
2026-09-01 13:15:00+03:00,8939.98,11997.0
2026-09-01 13:30:00+03:00,8931.78,11997.0
2026-09-01 13:45:00+03:00,8890.13,11997.0
2026-09-01 14:00:00+03:00,8887.76,11997.0
2026-09-01 14:15:00+03:00,8921.36,11997.0
2026-09-01 14:30:00+03:00,8891.42,11997.0
2026-09-01 14:45:00+03:00,8997.94,11997.0
2026-09-01 15:00:00+03:00,8963.76,11997.0
2026-09-01 15:15:00+03:00,8845.8,11997.0
2026-09-01 15:30:00+03:00,8875.28,11997.0
2026-09-01 15:45:00+03:00,8927.07,11997.0
2026-09-01 16:00:00+03:00,8900.47,11997.0
2026-09-01 16:15:00+03:00,8831.59,11997.0
2026-09-01 16:30:00+03:00,8839.2,11997.0
2026-09-01 16:45:00+03:00,8815.4,11997.0
2026-09-01 17:00:00+03:00,8804.49,11997.0
2026-09-01 17:15:00+03:00,8753.91,11997.0
2026-09-01 17:30:00+03:00,8709.43,11997.0
2026-09-01 17:45:00+03:00,8682.22,11997.0
2026-09-01 18:00:00+03:00,8567.25,11997.0
2026-09-01 18:15:00+03:00,8510.38,11997.0
2026-09-01 18:30:00+03:00,8500.89,11997.0
2026-09-01 18:45:00+03:00,8432.09,11997.0
2026-09-01 19:00:00+03:00,8400.47,11997.0
2026-09-01 19:15:00+03:00,8411.16,11997.0
2026-09-01 19:30:00+03:00,8421.62,11997.0
2026-09-01 19:45:00+03:00,8385.36,11997.0
2026-09-01 20:00:00+03:00,8401.85,11997.0
2026-09-01 20:15:00+03:00,8510.69,11997.0
2026-09-01 20:30:00+03:00,8570.14,11997.0
2026-09-01 20:45:00+03:00,8624.07,11997.0
2026-09-01 21:00:00+03:00,8574.25,11997.0
2026-09-01 21:15:00+03:00,8644.0,11997.0
2026-09-01 21:30:00+03:00,8565.97,11997.0
2026-09-01 21:45:00+03:00,8467.47,11997.0
2026-09-01 22:00:00+03:00,8559.54,11997.0
2026-09-01 22:15:00+03:00,8602.99,11997.0
2026-09-01 22:30:00+03:00,8568.44,11997.0
2026-09-01 22:45:00+03:00,8577.57,11997.0
2026-09-01 23:00:00+03:00,8418.29,11997.0
2026-09-01 23:15:00+03:00,8306.59,11997.0
2026-09-01 23:30:00+03:00,8249.24,11997.0
2026-09-01 23:45:00+03:00,8131.82,11997.0
2026-09-02 00:00:00+03:00,8103.57,11997.0
2026-09-02 00:15:00+03:00,7955.94,11997.0
2026-09-02 00:30:00+03:00,7875.89,11997.0
2026-09-02 00:45:00+03:00,7852.79,11997.0
2026-09-02 01:00:00+03:00,7734.43,11997.0
2026-09-02 01:15:00+03:00,7619.54,11997.0
2026-09-02 01:30:00+03:00,7585.36,11997.0
2026-09-02 01:45:00+03:00,7569.67,11997.0
2026-09-02 02:00:00+03:00,7528.41,11997.0
2026-09-02 02:15:00+03:00,7496.58,11997.0
2026-09-02 02:30:00+03:00,7615.18,11997.0
2026-09-02 02:45:00+03:00,7583.29,11997.0
2026-09-02 03:00:00+03:00,7679.36,11997.0
2026-09-02 03:15:00+03:00,7663.57,11997.0
2026-09-02 03:30:00+03:00,7568.64,11997.0
2026-09-02 03:45:00+03:00,7593.97,11997.0
2026-09-02 04:00:00+03:00,7593.43,11997.0
2026-09-02 04:15:00+03:00,7620.51,11997.0
2026-09-02 04:30:00+03:00,7610.51,11997.0
2026-09-02 04:45:00+03:00,7677.93,11997.0
2026-09-02 05:00:00+03:00,7692.02,11997.0
2026-09-02 05:15:00+03:00,7759.43,11997.0
2026-09-02 05:30:00+03:00,7861.38,11997.0
2026-09-02 05:45:00+03:00,7965.83,11997.0
2026-09-02 06:00:00+03:00,8076.44,11997.0
2026-09-02 06:15:00+03:00,8125.27,11997.0
2026-09-02 06:30:00+03:00,8302.78,11997.0
2026-09-02 06:45:00+03:00,8391.02,11997.0
2026-09-02 07:00:00+03:00,8523.48,11997.0
2026-09-02 07:15:00+03:00,8561.4,11997.0
2026-09-02 07:30:00+03:00,8628.61,11997.0
2026-09-02 07:45:00+03:00,8640.4,11997.0
2026-09-02 08:00:00+03:00,8791.1,11997.0
2026-09-02 08:15:00+03:00,8829.45,11997.0
2026-09-02 08:30:00+03:00,8863.02,11997.0
2026-09-02 08:45:00+03:00,8900.26,11997.0
2026-09-02 09:00:00+03:00,8951.33,11997.0
2026-09-02 09:15:00+03:00,8985.19,11997.0
2026-09-02 09:30:00+03:00,8917.05,11997.0
2026-09-02 09:45:00+03:00,8794.51,11997.0
2026-09-02 10:00:00+03:00,8749.13,11997.0
2026-09-02 10:15:00+03:00,8721.67,11997.0
2026-09-02 10:30:00+03:00,8730.82,11997.0
2026-09-02 10:45:00+03:00,8695.67,11997.0
2026-09-02 11:00:00+03:00,8753.76,11997.0
2026-09-02 11:15:00+03:00,8823.41,11997.0
2026-09-02 11:30:00+03:00,8854.07,11997.0
2026-09-02 11:45:00+03:00,8896.39,11997.0
2026-09-02 12:00:00+03:00,8859.71,11997.0
2026-09-02 12:15:00+03:00,8997.21,11997.0
2026-09-02 12:30:00+03:00,9127.36,11997.0
2026-09-02 12:45:00+03:00,9114.07,11997.0
2026-09-02 13:00:00+03:00,9027.59,11997.0
2026-09-02 13:15:00+03:00,9078.75,11997.0
2026-09-02 13:30:00+03:00,9029.41,11997.0
2026-09-02 13:45:00+03:00,9024.53,11997.0
2026-09-02 14:00:00+03:00,9027.48,11997.0
2026-09-02 14:15:00+03:00,8978.49,11997.0
2026-09-02 14:30:00+03:00,8915.47,11997.0
2026-09-02 14:45:00+03:00,8878.97,11997.0
2026-09-02 15:00:00+03:00,8893.6,11997.0
2026-09-02 15:15:00+03:00,8938.8,11997.0
2026-09-02 15:30:00+03:00,8853.34,11997.0
2026-09-02 15:45:00+03:00,8735.78,11997.0
2026-09-02 16:00:00+03:00,8728.56,11997.0
2026-09-02 16:15:00+03:00,8828.35,11997.0
2026-09-02 16:30:00+03:00,8861.61,11997.0
2026-09-02 16:45:00+03:00,8810.55,11997.0
2026-09-02 17:00:00+03:00,8906.84,11997.0
2026-09-02 17:15:00+03:00,8853.91,11997.0
2026-09-02 17:30:00+03:00,8837.39,11997.0
2026-09-02 17:45:00+03:00,8752.82,11997.0
2026-09-02 18:00:00+03:00,8809.33,11997.0
2026-09-02 18:15:00+03:00,8737.66,11997.0
2026-09-02 18:30:00+03:00,8787.39,11997.0
2026-09-02 18:45:00+03:00,8612.28,11997.0
2026-09-02 19:00:00+03:00,8611.74,11997.0
2026-09-02 19:15:00+03:00,8737.91,11997.0
2026-09-02 19:30:00+03:00,8734.36,11997.0
2026-09-02 19:45:00+03:00,8601.9,11997.0
2026-09-02 20:00:00+03:00,8658.93,11997.0
2026-09-02 20:15:00+03:00,8689.4,11997.0
2026-09-02 20:30:00+03:00,8719.62,11997.0
2026-09-02 20:45:00+03:00,8782.7,11997.0
2026-09-02 21:00:00+03:00,8812.96,11997.0
2026-09-02 21:15:00+03:00,8725.31,11997.0
2026-09-02 21:30:00+03:00,8606.95,11997.0
2026-09-02 21:45:00+03:00,8420.67,11997.0
2026-09-02 22:00:00+03:00,8420.06,11997.0
2026-09-02 22:15:00+03:00,8628.47,11997.0
2026-09-02 22:30:00+03:00,8642.84,11997.0
2026-09-02 22:45:00+03:00,8588.91,11997.0
2026-09-02 23:00:00+03:00,8479.7,11997.0
2026-09-02 23:15:00+03:00,8428.95,11997.0
2026-09-02 23:30:00+03:00,8279.93,11997.0
2026-09-02 23:45:00+03:00,8221.35,11997.0
2026-09-03 00:00:00+03:00,8060.44,11997.0
2026-09-03 00:15:00+03:00,8021.33,11997.0
2026-09-03 00:30:00+03:00,8001.71,11997.0
2026-09-03 00:45:00+03:00,7981.5,11997.0
2026-09-03 01:00:00+03:00,7838.34,11997.0
2026-09-03 01:15:00+03:00,7816.48,11997.0
2026-09-03 01:30:00+03:00,7752.16,11997.0
2026-09-03 01:45:00+03:00,7726.87,11997.0
2026-09-03 02:00:00+03:00,7815.43,11997.0
2026-09-03 02:15:00+03:00,7855.1,11997.0
2026-09-03 02:30:00+03:00,7810.48,11997.0
2026-09-03 02:45:00+03:00,7781.92,11997.0
2026-09-03 03:00:00+03:00,7868.34,11997.0
2026-09-03 03:15:00+03:00,7770.1,11997.0
2026-09-03 03:30:00+03:00,7780.43,11997.0
2026-09-03 03:45:00+03:00,7643.37,11997.0
2026-09-03 04:00:00+03:00,7608.34,11997.0
2026-09-03 04:15:00+03:00,7660.75,11997.0
2026-09-03 04:30:00+03:00,7613.47,11997.0
2026-09-03 04:45:00+03:00,7677.92,11997.0
2026-09-03 05:00:00+03:00,7736.27,11997.0
2026-09-03 05:15:00+03:00,7736.77,11997.0
2026-09-03 05:30:00+03:00,7821.77,11997.0
2026-09-03 05:45:00+03:00,7818.63,11997.0
2026-09-03 06:00:00+03:00,8063.04,11997.0
2026-09-03 06:15:00+03:00,8206.96,11997.0
2026-09-03 06:30:00+03:00,8301.86,11997.0
2026-09-03 06:45:00+03:00,8344.91,11997.0
2026-09-03 07:00:00+03:00,8580.17,11997.0
2026-09-03 07:15:00+03:00,8651.61,11997.0
2026-09-03 07:30:00+03:00,8817.6,11997.0
